Product_Name,Pricing,Ratings
Apple iPhone X (Space Gray| 64 GB), Rs.69999, 4.67
Apple iPhone 6s (Space Grey| 32 GB), Rs.29799, 4.585
Apple iPhone 6s (Gold| 32 GB), Rs.29799, 4.585
Apple iPhone 8 Plus (Gold| 256 GB), Rs.62999, 4.63
Apple iPhone 6s (Rose Gold| 32 GB), Rs.29799, 4.585
Apple iPhone 7 (Silver| 128 GB), Rs.47999, 4.556
Apple iPhone XS (Space Grey| 256 GB), Rs.114900, 4.7745
Apple iPhone XR (White| 128 GB), Rs.64999, 4.62
Apple iPhone XR (Black| 128 GB), Rs.64999, 4.62
Apple iPhone XR (Black| 64 GB), Rs.59999, 4.62
Apple iPhone 8 Plus (Silver| 256 GB), Rs.62999, 4.63
Apple iPhone XR (Coral| 64 GB), Rs.59999, 4.62
Apple iPhone XR (White| 64 GB), Rs.59999, 4.62
Apple iPhone XR ((PRODUCT)RED| 128 GB), Rs.64999, 4.62
Apple iPhone XR (Blue| 128 GB), Rs.64999, 4.62
Apple iPhone XS (Space Grey| 512 GB), Rs.134900, 4.7745
Apple iPhone XR (Coral| 128 GB), Rs.64999, 4.62
Apple iPhone 6 (Space Grey| 32 GB), Rs.27999, 4.41
Apple iPhone 8 (Space Grey| 64 GB), Rs.58999, 4.62
Apple iPhone 7 Plus (Black| 128 GB), Rs.59900, 4.68
Apple iPhone XR ((PRODUCT)RED| 64 GB), Rs.59999, 4.62
Apple iPhone 8 Plus (Gold| 64 GB), Rs.58900, 4.63
Apple iPhone 8 Plus (Space Grey| 64 GB), Rs.60399, 4.63
Apple iPhone 8 (Silver| 64 GB), Rs.58999, 4.62
